"N_subj","N_obs","cell_1","cell_2","alpha","beta","run","grand_mean","model_effect","model_se","singular","conv_error","BF","BF_cat"
40,20,0,0,0,0,1,0.073914826067325,0.282602322127904,0.186585330887196,"N","N",1.5446368918341,5
40,20,0,0,0,0,2,0.0418180478981405,0.210125732137005,0.169851187624011,"N","N",1.24984521729683,5
40,20,0,0,0,0,3,0.0146480274623173,-0.157404821823763,0.184338520048168,"N","N",0.945150599072132,5
40,20,0,0,0,0,4,-0.0707248694065321,-0.124437017562817,0.233756837688369,"N","N",0.849622922923568,5
40,20,0,0,0,0,5,0.150429131453514,-0.168858710293337,0.204607172959077,"N","N",0.568276257796401,5
40,20,0,0,0,0,6,0.027288381628539,0.0130403971189648,0.221503041153937,"N","N",0.998219300516563,5
40,20,0,0,0,0,7,0.0476108651734202,-0.0766956463930646,0.225928231025575,"N","N",0.926020320162784,5
40,20,0,0,0,0,8,-0.0443892284079514,-0.309383748008857,0.209333845718002,"Y","N",0.778825536411168,5
40,20,0,0,0,0,9,0.0708769196060051,0.269798409794679,0.169077529981654,"N","N",1.63045354373386,5
40,20,0,0,0,0,10,-0.0214693433593165,-0.0434293011507223,0.187644758827982,"N","N",0.973055577485568,5
40,20,0,0,0,0,11,-0.00552265082008281,0.392686657706113,0.208668360546652,"N","N",1.04071521319709,5
40,20,0,0,0,0,12,0.00751491048477299,-0.160302967297521,0.1822644994743,"N","N",0.970851989436763,5
40,20,0,0,0,0,13,-0.187284727740866,0.0179236057597147,0.189488994388207,"N","N",0.750095488857053,5
40,20,0,0,0,0,14,-0.0662646218432484,-0.131767626521936,0.197119722046494,"N","N",0.806459647263601,5
40,20,0,0,0,0,15,0.158376657009601,-0.135179896589855,0.200255465305546,"Y","N",0.577453343057954,5
40,20,0,0,0,0,16,-0.00555010871767434,0.0736997930961681,0.183271719483488,"N","N",1.0093054755146,5
40,20,0,0,0,0,17,-0.00931040584631485,0.148819361617183,0.206084905187607,"N","N",1.02554891266021,5
40,20,0,0,0,0,18,-0.33540334415288,0.0903202764359159,0.160620047424273,"N","N",0.682388686535816,5
40,20,0,0,0,0,19,0.061010765036832,0.210688300758261,0.212752775343248,"N","N",1.21197346914629,5
40,20,0,0,0,0,20,0.0134448270002895,0.307899646085961,0.224161368946317,"N","N",1.06736657116134,5
40,20,0,0.1,0.05,0.1,1,0.0886203067888479,0.177323361445647,0.167068985964253,"Y","N",1.38143670170048,5
40,20,0,0.1,0.05,0.1,2,0.128863135586378,-0.238722729786217,0.187856536368328,"N","N",0.50324229762885,5
40,20,0,0.1,0.05,0.1,3,0.0962353352978891,-0.0189111542700553,0.221033895546593,"N","N",0.892191960050839,5
40,20,0,0.1,0.05,0.1,4,-0.133106503921011,-0.142942086659615,0.186236801197969,"N","N",0.588214168215305,5
40,20,0,0.1,0.05,0.1,5,0.00646221463858788,0.18132826679434,0.196968845942521,"N","N",1.02404564305812,5
40,20,0,0.1,0.05,0.1,6,0.0289442953784664,-0.102197599878545,0.171464817454004,"Y","N",0.912778512224145,5
40,20,0,0.1,0.05,0.1,7,0.0127832868442426,-0.149692479722661,0.188192377903427,"N","N",0.956110489469331,5
40,20,0,0.1,0.05,0.1,8,-0.0063702271733609,0.0120994135645693,0.198448795582604,"N","N",1.00104498185648,5
40,20,0,0.1,0.05,0.1,9,0.162458068549595,-0.031016336850303,0.224769066875971,"N","N",0.760253755929024,5
40,20,0,0.1,0.05,0.1,10,-0.0401473899088809,0.482189009584811,0.253386936060334,"N","N",1.27475130039173,5
40,20,0,0.1,0.05,0.1,11,0.0605164867849593,-0.157412994334893,0.232783709022856,"N","N",0.848978505200064,5
40,20,0,0.1,0.05,0.1,12,-0.035558893646385,0.114687994888011,0.163437345840924,"N","N",1.10504155533255,5
40,20,0,0.1,0.05,0.1,13,-0.246533633765802,0.430193729958151,0.19316018883423,"N","N",5.51563878081515,6
40,20,0,0.1,0.05,0.1,14,0.0037203715100224,-0.161951031955711,0.214579201897945,"N","N",0.989476058949591,5
40,20,0,0.1,0.05,0.1,15,0.0826309360465475,-0.257631248905118,0.184392464685859,"N","N",0.609192186154344,5
40,20,0,0.1,0.05,0.1,16,0.11102804382801,0.325390354203648,0.268073440478355,"N","N",1.39642989982333,5
40,20,0,0.1,0.05,0.1,17,0.154566814487717,0.12084148149859,0.214032500132402,"N","N",1.07783983079603,5
40,20,0,0.1,0.05,0.1,18,0.201117017587803,0.247479324128079,0.211253960943931,"N","N",1.58770482839615,5
40,20,0,0.1,0.05,0.1,19,-0.0468849198763745,-0.0526768636652799,0.194125331796555,"Y","N",0.92439906016877,5
40,20,0,0.1,0.05,0.1,20,-0.006317922884167,0.172090054593384,0.215482923669092,"N","N",1.01847765090051,5
40,20,0,0.2,0.1,0.2,1,0.208118262807605,0.228646324153579,0.175730701230541,"N","N",1.77481769519995,5
40,20,0,0.2,0.1,0.2,2,0.0510453342830524,0.122584094941939,0.168361535185018,"Y","N",1.14258880691655,5
40,20,0,0.2,0.1,0.2,3,0.134669740115546,0.16298895193718,0.196435560500039,"N","N",1.25267566151902,5
40,20,0,0.2,0.1,0.2,4,0.0364454043902649,0.0547663749956749,0.233922437421965,"N","N",1.01718235524818,5
40,20,0,0.2,0.1,0.2,5,0.125668854369036,0.423756262827507,0.260570276044053,"N","N",1.75875843258727,5
40,20,0,0.2,0.1,0.2,6,0.145682584417944,0.267784196307565,0.219409754420984,"N","N",1.57099500845767,5
40,20,0,0.2,0.1,0.2,7,0.12773274292208,0.193010988025448,0.174922377802241,"N","N",1.48280279728589,5
40,20,0,0.2,0.1,0.2,8,-0.0262400615846586,0.156100103199876,0.191448090158035,"Y","N",1.08487958131723,5
