"N_subj","N_obs","cell_1","cell_2","alpha","beta","run","grand_mean","model_effect","model_se","BF_1","BF_2","BF_1_cat","BF_2_cat"
40,20,1,0,0.5,-1,5,0.484889488954506,-0.988841770434662,0.223508493747232,0.0769005553181684,0.129728775562693,3,4
40,20,1,0,0.5,-1,6,0.401177224416456,-0.887585384455206,0.222662971018322,0.105393186581904,0.147837813276166,4,4
40,20,1,0,0.5,-1,7,0.545374374439111,-0.84160396047903,0.211804593902775,0.0713990425542237,0.108423008538545,3,4
40,20,1,0,0.5,-1,8,0.431650632719647,-0.822450092548061,0.179831849843073,0.067307772648188,0.110698439517534,3,4
40,20,1,0,0.5,-1,9,0.458439312793465,-1.06475400806322,0.202454089156046,0.0662977317201544,0.117723144296888,3,4
40,20,1,0,0.5,-1,10,0.391997594269126,-0.894315311288591,0.200673571794565,0.0848779793183484,0.133948083035617,3,4
40,20,1,1,1,0,1,0.936500926798807,-0.181940342497134,0.196827069300096,0.111469675166696,0.116814941767887,4,4
40,20,1,1,1,0,2,1.11056058379479,0.0376493037607745,0.23313782497656,0.232624056937593,0.262128780778821,4,4
40,20,1,1,1,0,3,0.981844464147122,-0.147709705795003,0.23794621349615,0.156040836219547,0.157816826188817,4,4
40,20,1,1,1,0,4,0.924476647813734,0.198781332836416,0.208962634188633,0.55741549795059,0.484837325570837,5,5
40,20,1,1,1,0,5,0.966191174768277,0.0123444999679531,0.225319298703742,0.235585663875554,0.236693513335544,4,4
40,20,1,1,1,0,6,0.946990011390611,-0.578664681267194,0.236453218193591,0.0732250250908776,0.0823135959761342,3,3
40,20,1,1,1,0,7,0.848944586575706,0.0559208424306667,0.251587071507611,0.341029746603701,0.345585009293154,5,5
40,20,1,1,1,0,8,0.851015589453027,-0.0550201889463235,0.20617276331763,0.195283792848642,0.20128938912694,4,4
40,20,1,1,1,0,9,1.16600146554256,-0.0598050395600282,0.240035187044124,0.169337787485939,0.185647934038826,4,4
40,20,1,1,1,0,10,0.898274595312956,0.170830025074437,0.2427989350852,0.494927266426464,0.461013310612501,5,5
40,20,1,2,1.5,1,1,1.48623218038044,0.600846770916148,0.207156799065272,17.0981540256123,16.2033258267324,7,7
40,20,1,2,1.5,1,2,1.72837656644518,1.04912607962356,0.260969537367134,807.402130290427,1429.29859727118,9,9
40,20,1,2,1.5,1,3,1.29029844173931,1.12724781381551,0.249496262217507,7103.47449146236,2431.07140700451,9,9
40,20,1,2,1.5,1,4,1.343851121292,0.818234376661474,0.20906987453026,542.406418239151,455.743328177499,9,9
40,20,1,2,1.5,1,5,1.51949383405383,1.09857044505928,0.278800807687859,658.009011375295,488.664016609343,9,9
40,20,1,2,1.5,1,6,1.7508586850735,1.83364414337599,0.32747314344088,1394599.84894028,2042561.07793008,9,9
40,20,1,2,1.5,1,7,1.35849086066423,0.932340802044218,0.198830659446641,13714.6762758891,7326.25410863038,9,9
40,20,1,2,1.5,1,8,1.28122972059734,0.832037870374004,0.225358706578137,258.010039914133,164.605180957083,9,9
40,20,1,2,1.5,1,9,1.51344651311064,1.10829166558378,0.235338399963912,15510.632628278,4494.67283167054,9,9
40,20,1,2,1.5,1,10,1.51123372195471,1.06945476239393,0.296346499519538,203.066403477939,146.68049313788,9,9
40,20,1,3,2,2,1,2.02303821968497,2.4651153812748,0.412650938315325,10981540.4119016,48613047698.7951,9,9
40,20,1,3,2,2,2,2.07459864341898,1.96390939818501,0.336758184030643,5017411.88034529,1006571.71216946,9,9
40,20,1,3,2,2,3,1.80213138895976,1.58433165274957,0.264991894992625,11503330.1217559,18828096.3477208,9,9
40,20,1,3,2,2,4,2.0121461786282,1.96638183836665,0.401941264904263,39050.2760294496,483720.716606599,9,9
40,20,1,3,2,2,5,1.94507486051096,2.03234554632826,0.323843590712448,69008368.6738891,3427048082.83278,9,9
40,20,1,3,2,2,6,2.60428752336981,2.83988312687145,0.640267274779535,5088.72026105315,269678526.114682,9,9
40,20,1,3,2,2,7,1.90844500732289,1.92292630185356,0.337919922386964,2287740.51657831,28033410.4180485,9,9
40,20,1,3,2,2,8,2.28800497735597,2.82225315462301,0.530413564239494,307732.110701736,13232197.2180602,9,9
40,20,1,3,2,2,9,1.78225797603226,1.46806726884428,0.224261529889257,360523832.203824,3717963.4486782,9,9
40,20,1,3,2,2,10,2.16304812703352,1.82244604379036,0.318938118889861,2531299.29497125,295737.623664471,9,9
40,20,2,0,1,-2,1,1.07926995864655,-1.94756341382902,0.271531535620758,0.025544942385257,0.0663122134973511,2,3
40,20,2,0,1,-2,2,1.14310141163792,-1.96715274105007,0.285902340179721,0.0264960909980144,0.0640868887059863,2,3
40,20,2,0,1,-2,3,1.09732393611082,-2.16698008098617,0.249099991633877,0.0186489537778067,0.0531328886209777,2,3
40,20,2,0,1,-2,4,1.05918111450967,-1.87514947227769,0.200370777912331,0.0140599541404447,0.0507619272556641,2,3
40,20,2,0,1,-2,5,1.04850642162663,-2.33128566768891,0.301243968075644,0.0310904390452664,0.0690640524571394,2,3
40,20,2,0,1,-2,6,0.807405584851838,-1.90535879352865,0.217913887907559,0.0224004956621301,0.0801863234854223,2,3
40,20,2,0,1,-2,7,1.12476867773235,-2.26829411504663,0.265894819658129,0.0238098452993362,0.0580446682920309,2,3
40,20,2,0,1,-2,8,1.23467695014361,-2.19465735299241,0.224568323619634,0.01674452233137,0.0508902028246015,2,3
40,20,2,0,1,-2,9,1.06294548661851,-1.84665017080686,0.272443230909197,0.0276197554003481,0.0635399803128761,2,3
40,20,2,0,1,-2,10,1.03526389439843,-1.68743961292744,0.187965554022568,0.0179784143237826,0.0466846385842997,2,3
40,20,2,1,1.5,-1,1,1.56270756817308,-1.12901160249302,0.273741297915851,0.0340924202158069,0.043474314645837,3,3
40,20,2,1,1.5,-1,2,1.38617389440601,-0.721279262110022,0.2556993430594,0.0490089310806117,0.0556980605860831,3,3
40,20,2,1,1.5,-1,3,1.71231471512436,-1.75610007598428,0.316140581623286,0.0238107714550517,0.03722050220871,2,3
40,20,2,1,1.5,-1,4,1.51694704876537,-0.993056730169599,0.270130858526616,0.0343093208104024,0.053580249149635,3,3
40,20,2,1,1.5,-1,5,1.72902356722489,-0.974274511543356,0.259197481804219,0.0279976839720419,0.0314108898996474,2,2
40,20,2,1,1.5,-1,6,1.49868423996978,-0.913205663774869,0.276229062301443,0.0392290266962018,0.0518618983289976,3,3
40,20,2,1,1.5,-1,7,1.51984782286793,-1.18690590693131,0.273370931732083,0.033449579064853,0.0454290096529702,3,3
40,20,2,1,1.5,-1,8,1.26404986339361,-1.1708169007015,0.205414806468699,0.0201927355466785,0.0403076992221479,2,3
40,20,2,1,1.5,-1,9,1.5723833556904,-0.488407962859489,0.25279787516506,0.0571697803325313,0.062784027821493,3,3
40,20,2,1,1.5,-1,10,1.7194685328891,-0.437902906321254,0.240125110077746,0.0520132422341333,0.0496677040407147,3,3
40,20,2,2,2,0,1,1.85091291629581,0.539884166269642,0.252138569762681,2.52252281405594,5.22020518452223,5,6
40,20,2,2,2,0,2,1.67389391483038,0.070446300361636,0.210850502515087,0.167982693099306,0.186590504592614,4,4
40,20,2,2,2,0,3,1.90810132860271,0.145848135961057,0.285242050830241,0.23148361330952,0.188590609762332,4,4
40,20,2,2,2,0,4,1.97587559940631,-0.22487670519793,0.250467043034562,0.0679140268733362,0.0663072556168919,3,3
40,20,2,2,2,0,5,2.19752430172526,-0.117337221634846,0.323939390993815,0.110206334431535,0.0924065221308209,4,3
40,20,2,2,2,0,6,2.00208435719293,0.0894213222186397,0.33303743045787,0.203857280599119,0.176071390587911,4,4
40,20,2,2,2,0,7,1.79778873531814,0.216779713729335,0.260438065588179,0.321371862690042,0.224497431170664,4,4
40,20,2,2,2,0,8,2.14066238918702,0.467260785381067,0.312645792107821,0.803022586370658,1.39432330733359,5,5
40,20,2,2,2,0,9,1.9154478537685,-0.428177687899786,0.265661686704751,0.0561365644592067,0.0530906660562561,3,3
40,20,2,2,2,0,10,1.99637691355787,0.144949662702377,0.333441051213396,0.242053044305323,0.253403817863982,4,4
40,20,2,3,2.5,1,1,2.43688302544949,0.347765771798881,0.296685649745943,0.418630044186501,0.738962147529595,5,5
40,20,2,3,2.5,1,2,2.72940723456248,1.37198199479844,0.386690336696602,133.906161325459,490.57522118673,9,9
40,20,2,3,2.5,1,3,2.58840973365453,0.969498917699557,0.322771533251365,21.0306573123313,56.5801410577551,7,8
40,20,2,3,2.5,1,4,2.85545034147162,0.987935478014881,0.511933838466757,2.08011554148909,4.49908461578007,5,6
40,20,2,3,2.5,1,5,2.13843245485853,1.14055541229351,0.261209566325698,2916.00755081549,6750.59967703164,9,9
40,20,2,3,2.5,1,6,2.48090120348958,1.15210449868824,0.297023199961891,396.144548901921,494.40090001417,9,9
40,20,2,3,2.5,1,7,2.64581064365187,1.13523383493799,0.438207585423176,8.50448744932795,11.0801088919798,6,7
40,20,2,3,2.5,1,8,2.57734739299236,0.673064694942978,0.488081777143092,0.850377975951073,3.82342552922292,5,6
40,20,2,3,2.5,1,9,2.31337843605486,0.717712090708484,0.360534256676046,2.08097131014384,1.6671710619452,5,5
40,20,2,3,2.5,1,10,2.74676849231657,0.646783194359961,0.372898090604624,1.12761189429858,2.61814648277211,5,5
40,20,3,0,1.5,-3,1,1.34509285313103,-2.44373478047631,0.292328708456214,0.0185516104738939,0.0489165928241135,2,3
40,20,3,0,1.5,-3,2,1.66176642541456,-3.54119504790835,0.494503744287613,0.0305989695478533,0.0614569813889283,2,3
40,20,3,0,1.5,-3,3,1.26824266468477,-3.1128672361229,0.358974232324292,0.0237883774223844,0.0816251111435066,2,3
40,20,3,0,1.5,-3,4,1.29319124872663,-2.49016745440788,0.270800234329477,0.0199809901908093,0.0478496467358333,2,3
40,20,3,0,1.5,-3,5,1.38233950037741,-2.93189278273032,0.258788089981804,0.0151456638046987,0.0415460148562553,2,3
40,20,3,0,1.5,-3,6,1.58043384052277,-3.20089481267271,0.410423978568247,0.0281128399554397,0.0698027074816667,2,3
40,20,3,0,1.5,-3,7,1.31566954350424,-2.96189758175055,0.362279857734459,0.0284468777463614,0.0737537340457657,2,3
40,20,3,0,1.5,-3,8,1.55818400764497,-2.92468945794039,0.289804924018078,0.0166112232751568,0.0515591310294356,2,3
40,20,3,0,1.5,-3,9,1.33181498667571,-3.01435108775828,0.313018537440519,0.0173669995278062,0.0959400618698705,2,3
40,20,3,0,1.5,-3,10,1.58108804912467,-3.16672098869308,0.412270701298524,0.0286064324582186,0.0554871031156573,2,3
40,20,3,1,2,-2,1,2.04729979578081,-1.73584094046783,0.456536682939449,0.0458854395753938,0.0354288775325532,3,3
40,20,3,1,2,-2,2,1.86131076080683,-1.30205642520282,0.251302942400554,0.0220934426591272,0.0353147707996942,2,3
40,20,3,1,2,-2,3,2.22489894380431,-2.20018478089621,0.469927541535695,0.0325867430811811,0.0387543001604791,2,3
