"N_subj","N_obs","cell_1","cell_2","alpha","beta","run","grand_mean","model_effect","model_se","singular","conv_error","BF","BF_cat"
200,20,0,0,0,0,1,-0.0504888737343283,0.150933265146784,0.0804035770598645,"N","N",2.34694862707085,5
200,20,0,0,0,0,2,-0.0239981472019156,-0.00266206611514814,0.0811130737595674,"N","N",0.951925348242775,5
200,20,0,0,0,0,3,0.0112678143576077,-0.0697370111503776,0.0855309900614771,"N","N",0.912336586827115,5
200,20,0,0,0,0,4,-0.0263620516182758,-0.0357561245644523,0.0886429423226495,"N","N",0.876295079212477,5
200,20,0,0,0,0,5,0.0704826452718787,0.110817722534455,0.0867291690081932,"N","N",1.6975401439504,5
200,20,0,0,0,0,6,0.062887686407602,-0.034065328295832,0.0877887524029456,"N","N",0.685495057235181,5
200,20,0,0,0,0,7,-0.00422566541544258,-0.186109882599536,0.0829509931747662,"N","N",0.914051010220665,5
200,20,0,0,0,0,8,-0.0644846341037612,0.212682747688766,0.0807646547870659,"N","N",5.71606828890253,6
200,20,0,0,0,0,9,-0.0476395874613778,0.0153282283983569,0.0937242359798223,"N","N",0.946600398735157,5
200,20,0,0,0,0,10,0.00193627991209156,0.126938982051152,0.0837635907971436,"N","N",1.02823702468417,5
200,20,0,0,0,0,11,-0.0534902887948932,-0.00320848531553302,0.0848533240666589,"N","N",0.832838020406196,5
200,20,0,0,0,0,12,-0.0505248384548348,-0.0711547416782676,0.0907144048251866,"N","N",0.659613706711238,5
200,20,0,0,0,0,13,0.0235002210992722,-0.122285657411493,0.0967886326526078,"N","N",0.777370608717561,5
200,20,0,0,0,0,14,0.0644120131135948,-0.052902304486623,0.0850924244681496,"N","N",0.606030399898265,5
200,20,0,0,0,0,15,-0.00540435996874462,-0.0579575597285175,0.0993902910540637,"N","N",0.973844732109655,5
200,20,0,0,0,0,16,-0.0412738065485027,0.0391746261050662,0.0903267488871033,"N","N",1.05678746245879,5
200,20,0,0,0,0,17,0.0189893989200444,-0.0247268828043522,0.0902511121411768,"N","N",0.935911667419848,5
200,20,0,0,0,0,18,0.0128580771440475,-0.051005352152368,0.0902712851162655,"N","N",0.930223395159502,5
200,20,0,0,0,0,19,-0.053292680231048,-0.00447976408931443,0.0928415856858821,"N","N",0.851195979309854,5
200,20,0,0,0,0,20,0.0809901372417027,-0.245625088310681,0.0890998953625623,"N","N",0.261549554544978,4
200,20,0,0.1,0.05,0.1,1,0.00888111739682336,0.144452815866323,0.0948663957824675,"N","N",1.11947431439918,5
200,20,0,0.1,0.05,0.1,2,0.0599916607178622,-0.0402035056804083,0.0895726690544044,"N","N",0.687500978769888,5
200,20,0,0.1,0.05,0.1,3,0.00513563226802611,0.0203970852291756,0.0926509348889272,"N","N",1.00826502424657,5
200,20,0,0.1,0.05,0.1,4,0.112195390050621,0.165864009334433,0.0889673157991634,"N","N",3.3469410609032,6
200,20,0,0.1,0.05,0.1,5,0.105831409596714,0.206717758545669,0.0951024424180163,"N","N",4.67037039087729,6
200,20,0,0.1,0.05,0.1,6,0.0862915579968349,0.184770613576422,0.0873968972324061,"N","N",3.9884338173367,6
200,20,0,0.1,0.05,0.1,7,0.0907137772021074,0.125255730519371,0.0930772580747892,"N","N",1.83773926773357,5
200,20,0,0.1,0.05,0.1,8,0.000261235760327524,0.139507239434921,0.0895835289324186,"N","N",1.00363667358559,5
200,20,0,0.1,0.05,0.1,9,-0.0137622670811091,0.0906714341597589,0.0820197584811053,"N","N",1.14812256366425,5
200,20,0,0.1,0.05,0.1,10,0.0574777431570289,0.0519624060357524,0.0861257426503146,"N","N",1.11031080434388,5
200,20,0,0.1,0.05,0.1,11,0.0104873434392535,0.132771675555391,0.0865263443999193,"N","N",1.1580334405822,5
200,20,0,0.1,0.05,0.1,12,0.0735459260100904,0.151197783361777,0.0970980714477406,"N","N",2.04780523276079,5
200,20,0,0.1,0.05,0.1,13,0.0213758637138961,-0.152867235897258,0.0965209450058098,"N","N",0.757371838943262,5
200,20,0,0.1,0.05,0.1,14,0.0950348074736521,0.181361231026774,0.100456472702973,"N","N",2.79651649148014,5
200,20,0,0.1,0.05,0.1,15,0.0396214318202436,0.164722569995163,0.0935796649737604,"N","N",1.75529467938648,5
200,20,0,0.1,0.05,0.1,16,0.11834679055533,0.179063314094521,0.0839106285082398,"N","N",5.04067014298654,6
200,20,0,0.1,0.05,0.1,17,0.0594392796426814,0.114638235909833,0.0902325882301628,"N","N",1.61433956900891,5
200,20,0,0.1,0.05,0.1,18,0.0804539530819955,0.102046997221265,0.0841347097381707,"N","N",1.6399724500119,5
200,20,0,0.1,0.05,0.1,19,0.0686567352897418,0.118241697104615,0.0959184652004303,"N","N",1.60493966415827,5
200,20,0,0.1,0.05,0.1,20,0.100660695129937,0.133339841754281,0.0913700309859437,"N","N",2.07488030189947,5
200,20,0,0.2,0.1,0.2,1,0.0313490063631452,0.12684034538681,0.0998987429021571,"N","N",1.32872701426761,5
200,20,0,0.2,0.1,0.2,2,0.0661497035280969,0.20832729497465,0.0911261156378868,"N","N",3.63594874214497,6
200,20,0,0.2,0.1,0.2,3,0.0590639858556584,0.22382632879318,0.0912189395196138,"N","N",3.70734234244117,6
200,20,0,0.2,0.1,0.2,4,0.107265524305004,0.227329158308481,0.0861429982031406,"N","N",10.2127175836966,7
200,20,0,0.2,0.1,0.2,5,0.0780037779318516,0.142640475212657,0.0862902862810264,"N","N",2.37282926515909,5
200,20,0,0.2,0.1,0.2,6,0.0723581981154984,0.194536743960533,0.085819283054432,"N","N",4.12047855681439,6
200,20,0,0.2,0.1,0.2,7,0.152746440095291,0.379854381570006,0.0830493220456216,"N","N",3058.45851957428,9
200,20,0,0.2,0.1,0.2,8,0.111478920217167,0.24853399972172,0.0919169375267307,"N","N",11.0246236574007,7
200,20,0,0.2,0.1,0.2,9,0.161385824808037,0.155516218948532,0.095803855984623,"N","N",2.48145078442104,5
200,20,0,0.2,0.1,0.2,10,0.0717058859402145,0.379429334370854,0.0889256054365392,"N","N",56.1283174746658,8
200,20,0,0.2,0.1,0.2,11,0.060954271162586,0.348993510222903,0.091766916568861,"N","N",15.0031812670966,7
200,20,0,0.2,0.1,0.2,12,0.133765787110588,0.242304754184044,0.0871432556928284,"N","N",16.2778252873577,7
200,20,0,0.2,0.1,0.2,13,0.106453724113197,0.275803348577527,0.0928501628559716,"N","N",15.8723084028836,7
200,20,0,0.2,0.1,0.2,14,0.171220913623732,0.166918670168912,0.0948739031661421,"N","N",2.97549025081029,5
200,20,0,0.2,0.1,0.2,15,0.142296389311771,0.187668480826536,0.0837084211255181,"N","N",6.39600608127596,6
200,20,0,0.2,0.1,0.2,16,0.123854364701167,0.212919814563865,0.0887230886122617,"N","N",7.59804363092696,6
200,20,0,0.2,0.1,0.2,17,0.128605087837106,0.244818499578818,0.0898704487920531,"N","N",13.7074978586517,7
200,20,0,0.2,0.1,0.2,18,0.132436389685205,0.256535273622725,0.0872806605930487,"N","N",22.1603716194149,7
200,20,0,0.2,0.1,0.2,19,0.110608544351486,0.237805821592239,0.0908920854670762,"N","N",9.60054208236249,6
200,20,0,0.2,0.1,0.2,20,0.141007146441691,0.206226635509831,0.0927323190737109,"N","N",5.97062072817558,6
200,20,0,0.3,0.15,0.3,1,0.220058432071098,0.490661097667468,0.0885298143453037,"N","N",410365.329230599,9
200,20,0,0.3,0.15,0.3,2,0.0946283587971143,0.313995363265988,0.0904649812908518,"N","N",31.9056673385547,8
200,20,0,0.3,0.15,0.3,3,0.207088926816157,0.235703414407241,0.0949946163114057,"N","N",10.4596915188134,7
200,20,0,0.3,0.15,0.3,4,0.179035312277197,0.294253748878807,0.0932705465563588,"N","N",46.0937947635655,8
200,20,0,0.3,0.15,0.3,5,0.128290581493815,0.293871053287369,0.0940187524221613,"N","N",28.2612306784063,7
200,20,0,0.3,0.15,0.3,6,0.208524947574191,0.288512177317807,0.0939929040265346,"N","N",41.0476043051889,8
200,20,0,0.3,0.15,0.3,7,0.122086461467411,0.306075095122037,0.0923725033118275,"N","N",39.520486592234,8
200,20,0,0.3,0.15,0.3,8,0.165918105702713,0.382673779750517,0.0902426682908877,"N","N",983.240311587045,9
200,20,0,0.3,0.15,0.3,9,0.151352599404742,0.328623215486185,0.0876052189207168,"N","N",194.299911890576,9
200,20,0,0.3,0.15,0.3,10,0.117118111257654,0.384655205301834,0.101540455346813,"N","N",78.4346318764162,8
200,20,0,0.3,0.15,0.3,11,0.187924038556654,0.359319786077692,0.0910247656415082,"N","N",478.877485863261,9
200,20,0,0.3,0.15,0.3,12,0.191436327487249,0.281317314647662,0.0862711382485904,"N","N",67.9866843279018,8
200,20,0,0.3,0.15,0.3,13,0.183341465655967,0.196710281962372,0.0951555186366293,"N","N",4.78730853810324,6
200,20,0,0.3,0.15,0.3,14,0.142800790348328,0.24287039105083,0.0842347119716136,"N","N",22.003647426844,7
200,20,0,0.3,0.15,0.3,15,0.109166952827691,0.292509611806968,0.0999551970044743,"N","N",13.6310969219511,7
200,20,0,0.3,0.15,0.3,16,0.20312747696049,0.19069810759016,0.0872545617236157,"N","N",5.78638941006126,6
200,20,0,0.3,0.15,0.3,17,0.18594348796606,0.0390301444282612,0.0850281111815224,"N","N",0.601364867219332,5
200,20,0,0.3,0.15,0.3,18,0.229588289200061,0.443643617303459,0.0968238755324419,"N","N",5779.23308207133,9
200,20,0,0.3,0.15,0.3,19,0.146784419269135,0.315905625833116,0.094803942613408,"N","N",54.5231851542975,8
200,20,0,0.3,0.15,0.3,20,0.136567803721303,0.213716283851791,0.0878136083629713,"N","N",8.62809782417973,6
200,20,0,0.4,0.2,0.4,1,0.20616758095463,0.338934725736228,0.0901828615843274,"N","N",300.251351412756,9
200,20,0,0.4,0.2,0.4,2,0.195378400086001,0.373844573992227,0.0923735318124258,"N","N",688.405028076728,9
200,20,0,0.4,0.2,0.4,3,0.176567923160854,0.224717232114552,0.0827082317644607,"N","N",17.4153608640052,7
200,20,0,0.4,0.2,0.4,4,0.164348470242863,0.614964368906189,0.0942704761267762,"N","N",8948200.70562286,9
200,20,0,0.4,0.2,0.4,5,0.139995322753006,0.22746473321458,0.0920730649209595,"N","N",9.08551198733291,6
200,20,0,0.4,0.2,0.4,6,0.227250801863568,0.406040504895285,0.0920313347445989,"N","N",3218.65617765949,9
200,20,0,0.4,0.2,0.4,7,0.168171900556332,0.429386746916251,0.0837062591473883,"N","N",33903.339366567,9
200,20,0,0.4,0.2,0.4,8,0.192530543734502,0.43312161260882,0.079243338483714,"N","N",267897.90729545,9
200,20,0,0.4,0.2,0.4,9,0.228143137841836,0.40955498428946,0.0890454500492294,"N","N",7060.84450916037,9
200,20,0,0.4,0.2,0.4,10,0.188349978806642,0.475959708037438,0.0896111004231513,"N","N",85153.4979204324,9
200,20,0,0.4,0.2,0.4,11,0.197409292803843,0.200132437966325,0.0894539162265366,"N","N",6.45745270439678,6
200,20,0,0.4,0.2,0.4,12,0.290376196496905,0.521710290174705,0.0869075878474421,"N","N",8700497.5656,9
200,20,0,0.4,0.2,0.4,13,0.178541854463016,0.285663251393758,0.0837151652612269,"N","N",100.489121908292,9
200,20,0,0.4,0.2,0.4,14,0.18905739352599,0.441478688339618,0.093658427395628,"N","N",6656.3319561888,9
200,20,0,0.4,0.2,0.4,15,0.177805401828548,0.325810067053292,0.0938752087973511,"N","N",103.372690971757,9
200,20,0,0.4,0.2,0.4,16,0.218188987799876,0.398125273733796,0.0858537350636752,"N","N",8110.79265196477,9
200,20,0,0.4,0.2,0.4,17,0.271205028051596,0.53002918045037,0.0861202267427168,"N","N",17970916.7274158,9
200,20,0,0.4,0.2,0.4,18,0.181326192166849,0.518337764197832,0.0807187494105115,"N","N",24140944.7231903,9
200,20,0,0.4,0.2,0.4,19,0.182072552555952,0.397531547597187,0.0800413959167351,"N","N",24757.0300837965,9
200,20,0,0.4,0.2,0.4,20,0.137209488468838,0.568978744887062,0.0974539343481112,"N","N",96138.1560319058,9
200,20,0,0.5,0.25,0.5,1,0.283184167749033,0.561855093302924,0.106308109852736,"N","N",145914.712538249,9
200,20,0,0.5,0.25,0.5,2,0.257356043517811,0.538878975712604,0.0923140585884749,"N","N",2424153.72423894,9
200,20,0,0.5,0.25,0.5,3,0.242498534436097,0.480829389880933,0.0870885442108866,"N","N",494248.317047364,9
200,20,0,0.5,0.25,0.5,4,0.314301666614376,0.773032722204355,0.0951892421135917,"N","N",7618994460818.41,9
200,20,0,0.5,0.25,0.5,5,0.229124214053837,0.4166816098119,0.0935251218475721,"N","N",3749.54892642838,9
200,20,0,0.5,0.25,0.5,6,0.262309083129961,0.36137918502569,0.0896872251419637,"N","N",925.815755484542,9
200,20,0,0.5,0.25,0.5,7,0.236251813244819,0.385341061523195,0.0962876373140526,"N","N",726.223474532441,9
200,20,0,0.5,0.25,0.5,8,0.374496616465485,0.353159308097375,0.0810483056748794,"N","N",3664.34134851237,9
200,20,0,0.5,0.25,0.5,9,0.265976397872549,0.446861864962258,0.0890962761545779,"N","N",51892.1459202491,9
200,20,0,0.5,0.25,0.5,10,0.368986354777958,0.5804938391014,0.0858236162802904,"N","N",1206330435.84006,9
200,20,0,0.5,0.25,0.5,11,0.203327078243347,0.614962226606081,0.0966087261139114,"N","N",12962501.4114775,9
200,20,0,0.5,0.25,0.5,12,0.309135950424923,0.481608331984258,0.0887749907530178,"N","N",443433.883903841,9
200,20,0,0.5,0.25,0.5,13,0.234928800927782,0.426949858374911,0.0874140697331978,"N","N",24709.5715991025,9
200,20,0,0.5,0.25,0.5,14,0.269993148892209,0.510469007178305,0.0900659514842528,"N","N",1195108.21662519,9
200,20,0,0.5,0.25,0.5,15,0.241871368506128,0.573770797471812,0.0804018175115899,"N","N",5741420102.76506,9
200,20,0,0.5,0.25,0.5,16,0.266272984129379,0.586775939168282,0.0860971685801159,"N","N",831000948.214306,9
200,20,0,0.5,0.25,0.5,17,0.287909648701321,0.51040862065747,0.0969571837573984,"N","N",162421.42698882,9
200,20,0,0.5,0.25,0.5,18,0.276127336348866,0.510330718094817,0.0828201496188089,"N","N",21032551.1791103,9
