"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,11,0.205128916955768,2.82607134176219,-0.00340835352315661,0.424144394431571,"N","N",0.716148630510006,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,12,0.343432683292486,2.82607134176219,-0.208704706499466,0.431738328387292,"N","N",0.393632432984637,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,13,0.333842352162609,2.82607134176219,0.484054950319421,0.489949624976774,"Y","N",1.2795978512165,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,14,0.321136295293895,2.82607134176219,0.524751440494261,0.365077325433601,"N","N",1.92767466540436,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,15,0.257006374173418,2.82607134176219,0.589922262982365,0.396155502881984,"N","N",2.15848230332958,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,16,0.258818498844835,2.82607134176219,0.39193806951384,0.506745500773636,"N","N",1.1572018894668,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,17,0.427524770272204,2.82607134176219,0.501126320366892,0.46090185335063,"N","N",1.24582985702525,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,18,0.358889329488408,2.82607134176219,0.23327620098996,0.306771176810703,"N","N",0.760104655020705,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,19,0.312270006826831,2.82607134176219,0.419390274814963,0.297509541354172,"Y","N",1.73530725403595,5,"skip",NA
40,20,0.5,0.5,0,0.2,0.3,-0.4,0.1,0.2,20,0.25424902238949,2.82607134176219,0.18820877422814,0.331480569557068,"N","N",0.835433951599262,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,1,0.366843582904962,2.82607134176219,0.331233081091482,0.384204380713766,"Y","N",0.965573721995834,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,2,0.206929624319149,2.82607134176219,0.625321209611234,0.460153281107659,"N","N",1.84048010261558,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,3,0.4656578169495,2.82607134176219,0.0590661591857985,0.386432853909259,"N","N",0.431680342854419,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,4,0.182597776279986,2.82607134176219,-0.152424164461746,0.352199652033715,"Y","N",0.549566954081371,5,"skip",NA
