"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,1,1,0,0,0.5,-1,0,0,1,0.304196776954692,2.20669584658816,-0.818338100059826,0.372472246165259,"N","N",0.182560282530232,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,2,0.595042261367562,2.20669584658816,-0.464807982241375,0.454979281694552,"N","N",0.193017502327809,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,3,0.344269633475281,2.20669584658816,-0.34356902294774,0.348108398571679,"N","N",0.253148836846837,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,4,0.642531917926672,2.20669584658816,0.0486729382661571,0.509985207923262,"N","N",0.395294895313993,5,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,5,0.503301020500424,2.20669584658816,0.11951412147883,0.452208770758642,"N","N",0.501247191722713,5,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,6,0.606111087889718,2.20669584658816,-0.613696614970982,0.37957247395655,"N","N",0.122461372381061,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,7,0.460326710184455,2.20669584658816,-0.214136531421159,0.365481328453475,"N","N",0.249302806170379,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,8,0.56181368894996,2.20669584658816,-0.532181571009695,0.420450759122785,"N","N",0.165220971903067,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,9,0.457190867707562,2.20669584658816,-0.589392238971542,0.445559679198054,"N","N",0.206631731627054,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,10,0.58414495156353,2.20669584658816,0.917075405349243,0.322078191633654,"N","N",22.8855933577856,7,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,11,0.474481034953978,2.20669584658816,-0.491629906463071,0.439867830604369,"N","N",0.219958592082674,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,12,0.430876502274422,2.20669584658816,0.395254856019034,0.380032256279221,"N","N",1.05271125397584,5,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,13,0.557783869281921,2.20669584658816,-0.0623875520763145,0.406523485708027,"Y","N",0.304911983800924,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,14,0.560862340189554,2.20669584658816,-0.387135227140205,0.40168776543721,"N","N",0.18695492464507,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,15,0.515071002005622,2.20669584658816,0.370099380080442,0.470905674142649,"N","N",0.818324487575622,5,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,16,0.430055254160562,2.20669584658816,0.169040637894866,0.398045722467424,"N","N",0.588927916297967,5,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,17,0.479589348533129,2.20669584658816,0.0834325215421007,0.417481813550411,"N","N",0.465913674451761,5,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,18,0.450494526079218,2.20669584658816,-0.170236044167034,0.422902225213047,"Y","N",0.32625712131694,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,19,0.510109526070584,2.20669584658816,-0.351392695393391,0.373422807682458,"N","N",0.189799153044042,4,"skip",NA
40,20,1,1,0,0,0.5,-1,0,0,20,0.62340532694026,2.20669584658816,0.899702639699139,0.378292368395162,"N","N",7.66366274677068,6,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,1,0.614643874574507,2.20669584658816,0.0411287785122703,0.413211233386433,"N","N",0.342786210537168,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,2,0.474202313939946,2.20669584658816,0.511795015678651,0.35005019288372,"N","N",1.62430753478996,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,3,0.47857201752439,2.20669584658816,-0.0606888403099481,0.433334272168415,"N","N",0.374841261543743,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,4,0.491037116839556,2.20669584658816,-0.112943036135641,0.324530647050362,"N","N",0.247072468618274,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,5,0.518524309574934,2.20669584658816,-0.693430408789504,0.370393870726611,"N","N",0.125704553788106,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,6,0.361997663703695,2.20669584658816,-0.770009228269425,0.375064090531493,"N","N",0.163860215427699,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,7,0.644063261023473,2.20669584658816,-0.0576508604874024,0.512209198539162,"N","N",0.339260403065215,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,8,0.46419716070997,2.20669584658816,-0.0625668434429302,0.390487024708437,"N","N",0.34723838559675,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,9,0.668527583322722,2.20669584658816,0.416173650153831,0.345230844491634,"N","N",0.868265931339136,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,10,0.511975500709868,2.20669584658816,0.47465785653585,0.360262837812729,"N","N",1.28383757868942,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,11,0.544437580778406,2.20669584658816,0.694574519768308,0.468029060368278,"N","N",1.8295068953142,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,12,0.435846473906939,2.20669584658816,0.196381285475753,0.378780509859127,"N","N",0.610142316988262,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,13,0.507433730466691,2.20669584658816,-0.066231401220862,0.376324464952225,"N","N",0.30763160651158,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,14,0.568661660061576,2.20669584658816,0.0198430930573446,0.334390525664417,"N","N",0.296762978080701,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,15,0.410896579308734,2.20669584658816,-0.695837934429839,0.392236640305345,"Y","N",0.171380104816882,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,16,0.559187054011317,2.20669584658816,-0.10464054861169,0.391928312434295,"N","N",0.27492501201919,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,17,0.454415737090841,2.20669584658816,0.0502406273628113,0.386849549305068,"N","N",0.433108353331305,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,18,0.4503989907341,2.20669584658816,0.241118431305599,0.342992683182894,"N","N",0.656693899653357,5,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,19,0.648799302892321,2.20669584658816,-0.12016995792991,0.444442656494704,"N","N",0.265749998299543,4,"skip",NA
40,20,1,1,0,0.1,0.525,-0.95,0.05,0.1,20,0.303701545764283,2.20669584658816,-0.325800814025228,0.388623643421001,"N","N",0.333335085609629,5,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,1,0.516098346221076,2.20669584658816,-0.237354441996667,0.439085342015807,"N","N",0.272715423894186,4,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,2,0.433820739185186,2.20669584658816,0.739468286898741,0.328369199206725,"N","N",6.37944088378397,6,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,3,0.739347983913796,2.20669584658816,-0.331512487235272,0.472473538192575,"N","N",0.190138816529839,4,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,4,0.399150266645657,2.20669584658816,0.418796091430495,0.382625809919037,"Y","N",1.17891701600902,5,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,5,0.52018598264409,2.20669584658816,-0.858833795875633,0.565931015412188,"N","N",0.21048823166441,4,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,6,0.434158014705937,2.20669584658816,0.135457840945424,0.382792081112264,"Y","N",0.533961241036386,5,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,7,0.693164778996652,2.20669584658816,0.902643289633026,0.466217956693662,"N","N",3.31485377225286,6,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,8,0.651095839774278,2.20669584658816,0.645402951009607,0.499416096242282,"N","N",1.31496156494172,5,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,9,0.576498019282277,2.20669584658816,0.179711602760915,0.344248051359367,"N","N",0.447313246855468,5,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,10,0.675023719415426,2.20669584658816,1.19612607859376,0.383809028533769,"N","N",48.7278710430283,8,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,11,0.51248334828667,2.20669584658816,0.23964114622979,0.326964109581487,"N","N",0.588346317634734,5,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,12,0.527748830763472,2.20669584658816,0.0015829435536104,0.366282150571304,"N","N",0.327573276463353,4,"skip",NA
40,20,1,1,0,0.2,0.55,-0.9,0.1,0.2,13,0.509641197179708,2.20669584658816,0.703327444511914,0.463186012822941,"N","N",1.96993764115428,5,"skip",NA
