"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,11,0.161778610297987,1.28460278038418,1.14481884919294,0.342610023638832,"N","N",19.9520061903043,7,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,12,0.256339572237673,1.28460278038418,0.968668010363675,0.463495634035857,"N","N",4.19702221258692,6,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,13,0.198396125065965,1.28460278038418,0.865372399943822,0.385843933212516,"Y","N",4.81268116286927,6,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,14,0.121150829703993,1.28460278038418,0.743053329634416,0.399246756183592,"N","N",2.26724927419292,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,15,0.191947097937874,1.28460278038418,0.210431062822067,0.359999053005192,"N","N",0.996469420884479,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,16,0.0603098114860411,1.28460278038418,0.737612116497815,0.354674150644339,"N","N",1.77487146548448,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,17,0.175145296022041,1.28460278038418,0.50126561463092,0.334360355346615,"N","N",2.13818660330959,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,18,0.125775201951208,1.28460278038418,-0.0980971732468959,0.382622333038398,"N","N",0.749896171530445,5,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,19,0.215546995196383,1.28460278038418,1.05368686782119,0.396970666595562,"Y","N",8.89885883744973,6,"skip",NA
40,20,0.5,0,0,0.1,0.15,-0.2,-0.2,0.6,20,0.105989704319456,1.28460278038418,0.954680623035411,0.48178258525371,"N","N",1.98433949345161,5,"skip",NA
40,20,0.5,0,0,0.2,0.175,-0.15,-0.15,0.7,1,0.227659665112259,1.28460278038418,0.586441899708257,0.462208184581972,"N","N",1.72410759858996,5,"skip",NA
