"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,3,0.18901326726561,-0.292947971794814,-0.247587260256133,0.419335201773805,"N","N",0.555346157091477,5,0.638928584618988,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,4,0.0566103698444624,0.316981920354937,-0.144744856664604,0.317181424430956,"N","N",0.837078307692486,5,0.555716098321222,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,5,0.00342842952052053,0.0465553495681417,0.153305980098919,0.378935510264897,"N","N",1.0057137741183,5,1.03278106753106,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,6,-0.0571073589463115,-0.323551294134535,0.321107285007474,0.432553150967908,"N","N",1.13208780896416,5,1.18792980035582,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,7,0.0113618645597376,-0.3197655991088,0.154053243795234,0.312798410003664,"N","N",1.02646884554805,5,0.948633471467008,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,8,0.0198683233265375,0.305661873475798,-0.0191138802422373,0.340856064146841,"N","N",0.988171567328428,5,0.722215517171972,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,9,-0.0155266837515205,0.030634532708906,0.19278878162001,0.36122147359999,"N","N",1.03379942567647,5,1.03325189748408,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,10,0.0445005166885027,-0.243148947308478,0.0753106013725137,0.302332946790646,"Y","N",1.01557394175894,5,0.88643612834822,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,11,0.134427069516735,0.0951089525339187,0.686178193027068,0.444034923072218,"N","N",1.85944309826165,5,1.29133644816028,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,12,0.0801895132062883,-0.166585293356767,-0.502239079658934,0.404912378872552,"N","N",0.669201554527289,5,0.657784067609129,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,13,-0.0488966367748452,0.0958854041030113,0.511696184008824,0.48423405126953,"N","N",1.16756795498586,5,1.1644377440071,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,14,-0.0302772707363967,-0.188230472569393,-0.125687853965457,0.356373682940096,"N","N",0.940945697827866,5,0.779486009782645,5
40,20,0,0,0,0.1,0.025,0.05,0.05,0.1,15,-0.0051019959299547,0.0533426882841732,-0.0688493408985752,0.384114829789921,"N","N",0.995870396400294,5,0.971364055187681,5
